"","Precursor.Ion.Name","Blank.max"
"1","O-Acetylcarnitine",852937
"2","Adenine",5288971
"3","Adenosine",850743
"4","L-Alanine",1441303
"5","4-Aminobutyric acid",47236660
"6","L-Arginine",583244
"7","L-Asparagine",88025
"8","L-Aspartic acid",200580
"9","Glycine betaine",30650630
"10","Butyrylcarnitine",81496
"11","Carnitine",4699384
"12","Choline",6871580
"13","Citrulline",512100
"14","Creatine",1910206
"15","Cys-Gly, oxidized",14442
"16","L-Cystathionine",0
"17","L-Cystine",0
"18","Cytidine",40749
"19","Cytosine",2072304
"20","Dimethylglycine",226518608
"21","2-O-alpha-D-Glucosylglycerol",0
"22","Dimethylsulfoniopropionate",17880534
"23","Ectoine",13804503
"24","Glucosamine",34386
"25","L-Glutamic acid",710654
"26","L-Glutamine",1177517
"27","Glutathione",0
"28","Glycerophosphocholine",804033
"29","Glycine",340945
"30","Guanine",1657291
"31","Guanosine",5711
"32","L-Histidine",4362713
"33","Homarine",737142
"34","L-Homoserine",60531
"35","L-Hydroxylysine",27362
"36","Hypotaurine",0
"37","L-Isoleucine",2036113
"38","L-Lysine",791852
"39","L-Methionine",0
"40","L-Methionine S-oxide",79783
"41","Muramic acid",1072502
"42","N6-Acetyl-L-lysine",561161
"43","O-Acetyl-L-serine",182946
"44","N-Methyltaurine",188515
"45","L-Ornithine",693633
"46","2-Heptyl-3-hydroxy-quinolone",338440
"47","L-Proline",8932917
"48","O-Propionylcarnitine",79069
"49","Sarcosine",130046
"50","L-Serine",1351210
"51","Proline betaine",161449
"52","L-Threonine",885483
"53","Hydroxyproline",173392
"54","Trigonelline",5217753
"55","Trimethylamine",126446
"56","Trimethylamine N-oxide",1390375
"57","L-Tyrosine",494512
"58","L-Valine",41907224
"59","Dimethylsulfonioacetate",1438593
"60","Gonyol",1443782
"61","Turicine",377163
"62","Betonicine",377163
"63","Arsenobetaine",4863
"64","Hydroxyisoleucine",940551
"65","Deoxyadenosine",1072502
"66","beta-Alanine",125352
"67","Melamine",9482137
"68","DL-Alanine, 2H3",40993100
"69","DL-Histidine, 15N",152082960
"70","DL-Proline, 2H7",106552656
"71","DL-Valine, 2H8",18582120
"72","L-Isoleucine, 15N",10727011
"73","L-Methionine, 2H3",24208590
"74","Adenosine monophosphate",0
"75","3',5'-Cyclic diGMP",56609
"76","Dihydroxyacetone phosphate",0
"77","(R)-2,3-Dihydroxypropane-1-sulfonate",0
"78","Ethanesulfonic acid",191799
"79","Ethyl dihydroxybenzoate",0
"80","Flavin adenine dinucleotide",0
"81","Fumaric acid",794120
"82","D-Gluconic acid",4166269
"83","Isethionic acid",1096225
"84","2-Ketoglutaric acid",56849
"85","Lipoic acid",48987
"86","L-Pyroglutamic acid ",22512556
"87","Malic acid",9598225
"88","N-Acetyltaurine",14691
"89","Orotic acid",55987
"90","Oxalic acid",62597968
"91","Salicylic acid",2008413
"92","Shikimic acid",1451065
"93","Succinic acid",6671492
"94","Sucrose",295210
"95","Taurine",0
"96","Thymidine",0
"97","Thymine",1267928
"98","Trehalose",0
"99","Uracil",1173483
"100","Uridine",0
"101","AMP, 15N5",25116436
"102","Isethionic acid, 13C2",23708512
"103","L-Cysteic acid, 2H3",5208986
"104","Sucrose, 13C",40621792
"105","Taurine, 2H4",14181230
"106","Trehalose, 13C",32409896
"107","Succinic acid, 2H4",50160980
"108","Sulfoacetic acid, 13C2",79226800
"109","3-Sulfolactate, 13C3",4856583
